document,format,word_count,category,score,max_score,finding_count,total_score,compliance_level,generated_at
Brand Content.docx,docx,7548,Tone and Professional Voice,3,5,10,15,Moderate issues,2026-09-06T21:04:02
Brand Content.docx,docx,7548,Clarity and Readability,5,5,16,15,Moderate issues,2026-09-06T21:04:02
Brand Content.docx,docx,7548,Formatting and Structure,1,5,9,15,Moderate issues,2026-09-06T21:04:02
Brand Content.docx,docx,7548,Data and Evidence Usage,1,5,10,15,Moderate issues,2026-09-06T21:04:02
Brand Content.docx,docx,7548,Compliance With Style Guide,5,5,2,15,Moderate issues,2026-09-06T21:04:02
Community Member Personas.pdf,pdf,150,Tone and Professional Voice,4,5,0,21,Excellent,2026-09-06T21:04:02
Community Member Personas.pdf,pdf,150,Clarity and Readability,4,5,0,21,Excellent,2026-09-06T21:04:02
Community Member Personas.pdf,pdf,150,Formatting and Structure,4,5,0,21,Excellent,2026-09-06T21:04:02
Community Member Personas.pdf,pdf,150,Data and Evidence Usage,4,5,0,21,Excellent,2026-09-06T21:04:02
Community Member Personas.pdf,pdf,150,Compliance With Style Guide,5,5,0,21,Excellent,2026-09-06T21:04:02
Employee Giving Program Blog Article.docx,docx,593,Tone and Professional Voice,5,5,0,18,Good – minor improvements needed,2026-09-06T21:04:02
Employee Giving Program Blog Article.docx,docx,593,Clarity and Readability,2,5,12,18,Good – minor improvements needed,2026-09-06T21:04:02
Employee Giving Program Blog Article.docx,docx,593,Formatting and Structure,4,5,1,18,Good – minor improvements needed,2026-09-06T21:04:02
Employee Giving Program Blog Article.docx,docx,593,Data and Evidence Usage,2,5,5,18,Good – minor improvements needed,2026-09-06T21:04:02
Employee Giving Program Blog Article.docx,docx,593,Compliance With Style Guide,5,5,1,18,Good – minor improvements needed,2026-09-06T21:04:02
Executive Summary.docx,docx,536,Tone and Professional Voice,5,5,0,19,Good – minor improvements needed,2026-09-06T21:04:02
Executive Summary.docx,docx,536,Clarity and Readability,3,5,2,19,Good – minor improvements needed,2026-09-06T21:04:02
Executive Summary.docx,docx,536,Formatting and Structure,5,5,0,19,Good – minor improvements needed,2026-09-06T21:04:02
Executive Summary.docx,docx,536,Data and Evidence Usage,1,5,10,19,Good – minor improvements needed,2026-09-06T21:04:02
Executive Summary.docx,docx,536,Compliance With Style Guide,5,5,0,19,Good – minor improvements needed,2026-09-06T21:04:02
Master Presentation.pptx,pptx,227,Tone and Professional Voice,4,5,0,18,Good – minor improvements needed,2026-09-06T21:04:02
Master Presentation.pptx,pptx,227,Clarity and Readability,3,5,1,18,Good – minor improvements needed,2026-09-06T21:04:02
Master Presentation.pptx,pptx,227,Formatting and Structure,5,5,0,18,Good – minor improvements needed,2026-09-06T21:04:02
Master Presentation.pptx,pptx,227,Data and Evidence Usage,2,5,10,18,Good – minor improvements needed,2026-09-06T21:04:02
Master Presentation.pptx,pptx,227,Compliance With Style Guide,4,5,1,18,Good – minor improvements needed,2026-09-06T21:04:02
